domain,k_identity_dims,label,n,cv_corr,in_sample_corr
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CKDEPI_in_ml_min_1.73m,90,0.4152178919336412,0.4619879199858162
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__TSH_in_mU_l,108,-0.4081559232159697,0.029553816070217863
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1C_in_%,109,0.36910510441944777,0.41803269819887845
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1CI_in_mmol_mol,109,0.3689605159217046,0.4179002821587814
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__GLU_in_mmol_l,108,0.22447006667669053,0.31619952536109763
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1G_in_g_dl,109,0.22142813782241325,0.2969198495961589
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__LDLC_in_mmol_l,108,0.21082242331139608,0.3063804953957259
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__GGT_in_µkat_l,108,0.20679597848562728,0.25125227000896255
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__PLT_in_exp_9 _l,107,-0.20298527417332735,0.12585282100714082
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HDLC_in_mmol_l,108,0.19237967225645572,0.24669576535198312
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__NA_in_mmol_l,108,0.19096363345327366,0.2732994356935412
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CRP_in_mg_l,87,0.18810388716342352,0.17725655164214102
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CHOL_in_mmol_l,108,0.17413514300028268,0.2688480243957356
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHCK_in_g_dl,107,-0.14611465618100428,0.11389043573638385
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__INR,104,0.14274188951194203,0.2156773372678346
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHC _in_mmol_l,107,-0.14237652798185707,0.1157416079304033
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__RDW_in_%,107,0.12909676792438524,0.18209309081358738
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__INRVOR,104,0.11912924229855958,0.19532257583393609
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHK_in_pg,107,0.09860267855021136,0.24215489589975595
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCH_in_fmol,107,0.09719732305144092,0.24049871667468892
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__ALAT_in_ µkat_l,108,0.09572977232067358,0.23888231090350476
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__PT_in_%,104,0.0922358625800052,0.18456463882169497
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCV_in_fl,107,0.09081594300963661,0.23062177596668965
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HGBK_in_g_dl,107,0.0643637805896464,0.18033401497117063
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HGB_in_mmol_l,107,0.0623732296380516,0.17968190729963748
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__WBC_in_exp_9_l,107,-0.05765104034274922,0.16488543745267367
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HCT _in_l_l,107,0.04790063512349283,0.16975352988113454
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__TRIG_in_mmol_l,108,0.045544643732051325,0.206628603674381
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__RBC_in_exp_12_l,107,-0.04519793899733933,0.14574572589079765
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HB_in_g_dl,109,-0.04411216355047081,0.13576422435117055
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__ASAT_in_µkat_l,108,0.04312634588276603,0.1785647450747239
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CL_in_mmol_l,108,-0.028645528832968562,0.14695585399073152
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__K_in_mmol_l,108,-0.027141102764861817,0.1388861850636076
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MPV_in_fl,105,0.025706187563316878,0.24026994603949497
blood_chemistry,3,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CRE_in_µmol_l,108,-0.015115606371941016,0.14310190006082915
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__TSH_in_mU_l,108,-0.45386912546084374,0.05743230606888139
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CKDEPI_in_ml_min_1.73m,90,0.434377465454888,0.5115392670363749
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1C_in_%,109,0.34504754474518184,0.443139289875419
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1CI_in_mmol_mol,109,0.3449440385986277,0.4430374771960324
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__ASAT_in_µkat_l,108,0.3176746261198489,0.4378239101862968
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__ALAT_in_ µkat_l,108,0.2850732632445026,0.4885099374101022
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__PT_in_%,104,0.25659833247212527,0.3725559704419377
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CRP_in_mg_l,87,0.24637403986903575,0.23082630307707294
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__GGT_in_µkat_l,108,0.24271211838551027,0.339381581074386
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__INR,104,0.23465646052869713,0.3515470034220369
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__INRVOR,104,0.23146508748491923,0.35318066034050793
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__PLT_in_exp_9 _l,107,-0.22977523643757355,0.16579120758432375
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__RBC_in_exp_12_l,107,-0.20285776805621206,0.15387288299191268
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__LDLC_in_mmol_l,108,0.196603101654853,0.3482805122205434
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1G_in_g_dl,109,0.19030450548259242,0.34453434410935874
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__K_in_mmol_l,108,-0.17080406792637445,0.1700952625331143
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__GLU_in_mmol_l,108,0.15585423379214333,0.3266914990841934
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__NA_in_mmol_l,108,0.14534577511580554,0.30078970933238436
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHK_in_pg,107,0.13794788097806768,0.30298956015625855
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCH_in_fmol,107,0.13474825802704896,0.301527337075461
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CL_in_mmol_l,108,0.12465829016754156,0.31253645587215634
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__RDW_in_%,107,0.12420877930882569,0.21212120315322386
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__WBC_in_exp_9_l,107,-0.11881716744677649,0.17580088708633118
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CHOL_in_mmol_l,108,0.10005556902626878,0.3115696147111042
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHCK_in_g_dl,107,0.09473390860269262,0.270149848422933
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCV_in_fl,107,0.09334453426604723,0.28190934426148445
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHC _in_mmol_l,107,0.09124943246582234,0.26866792369794096
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__TRIG_in_mmol_l,108,-0.08322244164319005,0.21251400813161553
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HCT _in_l_l,107,-0.06059895364890093,0.1816969475425692
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HB_in_g_dl,109,-0.037887778607998454,0.20904494285186898
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HDLC_in_mmol_l,108,0.020093291140295174,0.26733573215230083
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CRE_in_µmol_l,108,0.01959788400483466,0.24642736642266733
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MPV_in_fl,105,0.015769858829943938,0.2655598281865813
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HGBK_in_g_dl,107,0.011335043769579296,0.22162737226525295
blood_chemistry,6,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HGB_in_mmol_l,107,0.008236713323114299,0.2204966365564019
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CKDEPI_in_ml_min_1.73m,90,0.509026737704097,0.6163367582968423
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1C_in_%,109,0.31930672274494276,0.4721361501077028
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1CI_in_mmol_mol,109,0.31914682211382955,0.4720047912436147
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__GGT_in_µkat_l,108,0.30418193156129314,0.39784196978169617
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__ASAT_in_µkat_l,108,0.2844444505062076,0.45048548371270963
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__PT_in_%,104,0.2658150603477226,0.41664268546442973
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__PLT_in_exp_9 _l,107,-0.2383743534323627,0.22482061060436898
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__INRVOR,104,0.2252772801010737,0.38666833690029223
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__HBA1G_in_g_dl,109,0.21782843765829307,0.4111335793369835
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__LDLC_in_mmol_l,108,0.21618912883683494,0.42600969899545693
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__TRIG_in_mmol_l,108,-0.21598164466466677,0.2258533016966
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__INR,104,0.20479535162750492,0.3812255378551483
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__ALAT_in_ µkat_l,108,0.19081145229655191,0.4971635309564978
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__K_in_mmol_l,108,-0.18432084839691465,0.22726921375380943
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CHOL_in_mmol_l,108,0.15388996741483957,0.4200463057680968
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CL_in_mmol_l,108,0.151585276822524,0.3823665036689229
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__GLU_in_mmol_l,108,0.1421536361221279,0.38699316201926776
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CRP_in_mg_l,87,0.13157624108452287,0.24035995637673407
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__WBC_in_exp_9_l,107,-0.12100505856002125,0.243348004198267
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCHK_in_pg,107,0.11283934517017305,0.33659572431201545
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MCH_in_fmol,107,0.10909367588783982,0.3349751676456264
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__RDW_in_%,107,0.10009312945989728,0.28712367876478634
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__CRE_in_µmol_l,108,0.09513855889537005,0.3561422284735957
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__NA_in_mmol_l,108,0.09074694792133856,0.32355495985658317
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__MPV_in_fl,105,0.08481294368454613,0.3386246341738372
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__RBC_in_exp_12_l,107,-0.08028216957717368,0.28574111696676957
blood_chemistry,10,Medical_LEMON__Blood_Sample__Blood_Results_LEMON__TSH_in_mU_l,108,-0.058817864998038774,0.25082352262415714
