domain,n_labels,k_identity_dims,rank,in_sample_r2,loocv_r2,mean_cv_corr,mean_abs_cv_corr
blood_chemistry,35,3,3,0.05448763881150587,0.009778423500102829,0.07998431410880133,0.14384121481808643
blood_chemistry,35,6,6,0.09264572359594092,-0.010511924068932421,0.09271935707516983,0.17030978788819093
blood_chemistry,35,10,10,0.12861981350035356,-0.03989487283451054,0.10102203593338063,0.15238100391219078
blood_chemistry,35,20,10,0.19512926587793644,-0.12173481920259133,0.08255534589097173,0.12972050563775686
blood_pressure,11,3,3,0.16393272025849703,0.12633837432806072,0.33854535177063966,0.33854535177063966
blood_pressure,11,6,6,0.18494057893444793,0.10084038123849859,0.3128412479189557,0.3128412479189557
blood_pressure,11,10,10,0.22046664655066994,0.07410662058089124,0.297604664053758,0.297604664053758
blood_pressure,11,20,10,0.3204142404225405,0.03933358199701675,0.30196014456383297,0.30196014456383297
body_size,4,3,3,0.16725033223225683,0.11920549308324035,0.2856513803279658,0.3184075689462992
body_size,4,6,6,0.19001768899949922,0.0871189131107104,0.28001872290834784,0.28028024828793574
body_size,4,10,10,0.2171535087893326,0.04253203089077706,0.24504407996929173,0.2743713680938381
body_size,4,20,10,0.3401096129709593,0.00804307487887046,0.27622113243364316,0.27622113243364316
cognition,101,3,3,0.041999160777434597,-0.007428518778639592,0.0021420750033429334,0.1519604877585722
cognition,101,6,6,0.06937428355129338,-0.05348744857618315,0.007431958548120254,0.09998852992685006
cognition,101,10,10,0.1227482605964253,-0.07958799507059156,0.035604646597724894,0.11458872273900238
cognition,101,20,10,0.19553756727666582,-0.1281909731991433,0.03797318639700153,0.14204453840696285
personality_affect,140,3,3,0.03814845465932959,-0.008850402999523999,0.018245052933409216,0.1171134571712178
personality_affect,140,6,6,0.06097829329971072,-0.049970040609666366,0.002408744968180444,0.10320534024479819
personality_affect,140,10,10,0.10623026858304019,-0.06884690737990407,0.03392477454706138,0.10364882279293738
personality_affect,140,20,10,0.14100111792464243,-0.1393504712140179,-0.01351068442369466,0.10350357750867738
