transform,aperture,split,n,split_r,spearman_brown
raw,posterior_broad,odd_even,111,0.9538697788697789,0.9763903297808796
raw,posterior_broad,first_second,111,0.9479554229554229,0.9732824599417087
raw,lateral_posterior,odd_even,111,0.9573446823446823,0.9782075594349476
raw,lateral_posterior,first_second,111,0.9526325026325027,0.9757417244137658
smooth35,posterior_broad,odd_even,111,0.9482976482976483,0.9734628064928749
smooth35,posterior_broad,first_second,111,0.9438925938925938,0.9711365708765562
smooth35,lateral_posterior,odd_even,111,0.9505001755001754,0.9746219840830668
smooth35,lateral_posterior,first_second,111,0.9477448227448226,0.9731714459486855
smooth50,posterior_broad,odd_even,111,0.9381274131274131,0.968076099407341
smooth50,posterior_broad,first_second,111,0.935977535977536,0.9669301617231126
smooth50,lateral_posterior,odd_even,111,0.9416637416637416,0.9699555298456197
smooth50,lateral_posterior,first_second,111,0.936898911898912,0.9674215893697702
deblur10,posterior_broad,odd_even,111,0.9551597051597052,0.9770656613257933
deblur10,posterior_broad,first_second,111,0.9492453492453492,0.9739618972161198
deblur10,lateral_posterior,odd_even,111,0.9558968058968059,0.9774511651278187
deblur10,lateral_posterior,first_second,111,0.9536153036153036,0.9762569957868069
deblur25,posterior_broad,odd_even,111,0.9552474552474552,0.9771115698770307
deblur25,posterior_broad,first_second,111,0.9476131976131975,0.9731020500112638
deblur25,lateral_posterior,odd_even,111,0.9549315549315549,0.9769462798046539
deblur25,lateral_posterior,first_second,111,0.9516935766935767,0.9752489715172089
deblur50,posterior_broad,odd_even,111,0.9569147069147068,0.97798305008744
deblur50,posterior_broad,first_second,111,0.9499561249561249,0.974335896893577
deblur50,lateral_posterior,odd_even,111,0.9553790803790804,0.9771804249781227
deblur50,lateral_posterior,first_second,111,0.9528167778167778,0.975838377302364
deblur75,posterior_broad,odd_even,111,0.9575552825552825,0.9783174872132794
deblur75,posterior_broad,first_second,111,0.9514829764829764,0.9751383823985682
deblur75,lateral_posterior,odd_even,111,0.955054405054405,0.977010565624467
deblur75,lateral_posterior,first_second,111,0.9522902772902772,0.97556217778437
