feature,n_splits,train_r_median,held_r_median,held_r_q05,held_r_q95,same_direction_rate,held_p_lt_0_05_rate,held_wst_r_median
raw_posterior_broad__full_score,500,0.3784806439556436,0.37620835213504245,0.20289389652182027,0.5393960945355605,1.0,0.842,-0.008518025378916123
raw_lateral_posterior__full_score,500,0.37274690944758293,0.37269391108746797,0.1964518417968456,0.5006871984560024,0.998,0.824,-0.00029077554330832233
smooth35_posterior_broad__full_score,500,0.20827749396404804,0.2063055518198112,0.010427785053778744,0.3880789303037939,0.922,0.29,0.03035198264286218
smooth35_lateral_posterior__full_score,500,0.15916098889676167,0.16996201354686652,-0.02260156255020974,0.34984038058448297,0.868,0.192,0.019901670347213084
smooth50_posterior_broad__full_score,500,0.19089105842106685,0.18024889409246148,-0.002908677645781251,0.3438874074627869,0.89,0.21,-0.020960658930901974
smooth50_lateral_posterior__full_score,500,0.17572593398196412,0.18317070138146846,-0.004663620518905487,0.3400443272225058,0.89,0.19,-0.013598002118460205
deblur10_posterior_broad__full_score,500,0.3943132317344141,0.38259227610389634,0.2336871662573233,0.5381237654436786,1.0,0.892,0.013470887169546565
deblur10_lateral_posterior__full_score,500,0.3899459061638391,0.3887477047013117,0.22755793117855427,0.5381839529961467,1.0,0.896,0.003467443505262525
deblur25_posterior_broad__full_score,500,0.4008321783764174,0.3923265663243062,0.22119863634917208,0.5411887868364869,1.0,0.89,0.028219116348233656
deblur25_lateral_posterior__full_score,500,0.36636885907166294,0.36851539106807907,0.19373855226354605,0.511388377088066,0.996,0.828,0.00626993630354542
deblur50_posterior_broad__full_score,500,0.39103472470008527,0.39266736949833336,0.23860308509198874,0.5282718709621362,1.0,0.9,-0.008142125131177387
deblur50_lateral_posterior__full_score,500,0.39358838604518487,0.40145239971745905,0.25189200004151563,0.5314593994619896,1.0,0.914,0.001132295944275827
deblur75_posterior_broad__full_score,500,0.3529881810027761,0.35531092947019494,0.18863667580210358,0.5064973302405348,0.994,0.8,0.018219766121186913
deblur75_lateral_posterior__full_score,500,0.3353772120156877,0.3354287887367796,0.1729974613278774,0.4639759435698033,0.998,0.742,0.00688739953517354
raw_posterior_broad__full_p500_concentration,500,0.38277496501779307,0.3721802358721845,0.21248265003567884,0.5257035660656592,1.0,0.842,0.020154706773492022
smooth35_posterior_broad__full_p500_concentration,500,0.22408828654471247,0.21583557220994226,0.015380012402751954,0.3979890371949556,0.92,0.342,0.038094084653460966
deblur10_posterior_broad__full_p250_concentration,500,0.38479869797061317,0.39365455567120944,0.20667965701462118,0.5302637421997115,1.0,0.858,-0.005322386619438013
deblur10_posterior_broad__full_p333_concentration,500,0.3915425497341155,0.38476489622534227,0.23776668207024879,0.5185004718919181,1.0,0.896,0.011555074297457016
deblur25_posterior_broad__full_p250_concentration,500,0.40761465803351415,0.4027579542288434,0.23529733341143455,0.5449512343376816,1.0,0.884,0.024658689731669313
deblur25_posterior_broad__full_p333_concentration,500,0.40842348439152076,0.40667053338915604,0.25664606040237664,0.5413951922141653,0.998,0.934,-0.008406388308107155
deblur25_posterior_broad__full_p500_concentration,500,0.37996537726616564,0.38441621492489203,0.22435090200661037,0.5253756649568138,1.0,0.854,0.03396400859041835
deblur50_lateral_posterior__full_p250_concentration,500,0.3780927179207576,0.3787070599105672,0.2293248623256253,0.5144674697123588,1.0,0.88,-0.029593542226031555
deblur50_lateral_posterior__full_p333_concentration,500,0.38636416148793923,0.3931165722221457,0.22251121652205558,0.5292044366998351,1.0,0.888,-0.0003099935991364564
deblur75_posterior_broad__full_p250_concentration,500,0.35108493831610055,0.3516315407011243,0.17238822398253847,0.5050640956708438,1.0,0.78,0.021713561775353454
deblur75_posterior_broad__full_p333_concentration,500,0.3302896537617699,0.3440181451443387,0.19108081652809386,0.501785699368237,1.0,0.768,0.006689866431657517
